country_code,country_name,data_year,gdp_usd,gdp_per_capita_usd,population,life_expectancy,infant_mortality_per_1k,co2_per_capita_tons,literacy_rate_pct,internet_users_pct,unemployment_pct,inflation_cpi_pct,forest_area_pct,renewable_energy_pct,gini_index,electricity_access_pct,health_expenditure_per_capita_usd
EST,Estonia,2025,43130419829.35,31428.3547816104,1372341,78.490243902439,1.6,,99.8899993896484,92.238,8.313,3.52056053296586,57.0652937046572,38,30.7,100,2437.83764648
SWZ,Eswatini,2025,4858885840.77236,3909.55892378182,1242822,64.123,43.5,,90.75,57.62,34.202,2.59801620311077,29.1389534883721,64.7,54.6,86.4,296.04562378
ETH,Ethiopia,2025,149740297952.986,1133.88279681719,132059767,67.315,35.7,,60.4599990844727,16.6981,3.323,21.0377460577711,14.9308975782695,90.6,31.1,55.4,34.79846954
FRO,Faroe Islands,2024,4052937169.76536,74119.6607553879,54681,83.1439024390244,,,,97.582,,,0.0583941605839416,7.9,,100,
FJI,Fiji,2025,5968125909.27126,6425.74151715712,928784,67.316,23.8,,,79.3485,5.347,4.51138256524155,63.4953475643131,28.4,30.7,99.3,212.88697815
FIN,Finland,2025,298696961297.656,53149.7671934051,5619911,81.6853658536585,1.8,,,93.5139,9.461,1.56568906231616,73.7235162521384,50.2,27.4,100,5515.40478516
FRA,France,2025,3160442622465.08,46103.0840855884,68551653,82.9292682926829,3.4,,,88.6538,7.542,1.99904942291463,32.4764820484275,16.2,31.8,100,5327.43359375
PYF,French Polynesia,2025,6323716355.05009,22439.8838746025,281807,84.07,,,,72.7039,11.662,,43.0596369922213,7,,100,
GAB,Gabon,2025,20895684425.6752,8230.04311451151,2538952,68.337,26.5,,88.8600006103516,71.9256,20.154,1.17311998381218,91.1823650405558,91.3,38,94.1,252.98246765
GMB,"Gambia, The",2025,2404888749.21907,871.340291776294,2759988,65.86,33.8,,51.6399993896484,45.9137,6.521,11.5610532897511,22.2792391304348,47.7,38.8,66.9,25.74407768
GEO,Georgia,2025,34189423544.9955,9241.49122313713,3699557,74.496,8,,99.6800003051758,81.8843,12.097,1.10971758022096,40.6159159591308,25.2,33.9,100,554.3248291
DEU,Germany,2025,4685592577804.69,56103.7323182554,83516593,80.5414634146342,3.1,,,93.5,3.711,2.2564981433876,32.6789342643734,17.6,32.4,100,6849.26367188
GHA,Ghana,2025,82308110386.4641,2390.77237652715,34427414,65.498,28.2,,76.4899978637695,69.9445,2.979,22.8483281157842,35.1921958573042,39,43.5,89.5,70.25730896
GIB,Gibraltar,2024,,,39329,83.553,,,,94.4445,,,0,0,,100,
GRC,Greece,2025,256238371778.118,24626.1481858973,10405134,81.5365853658537,3.2,,93.9100036621094,86.2697,8.54,2.74149045788606,30.2699767261443,21.5,33.4,100,1962.59594727
GRL,Greenland,2024,3326543974.39193,58498.9707973609,56836,71.549756097561,,,,69.4825,,,0.000535997076379583,11.7,,100,
GRD,Grenada,2024,1371918518.51852,11705.0902976658,117207,75.205,16.7,,97.7900009155273,74.1201,,1.08615365134737,52.0588235294118,10,43.8,94.4,526.3918457
GUM,Guam,2025,6910000000,41833.1517132825,167777,77.209,,,99.370002746582,80.5055,5.569,,51.8518518518518,6.7,,100,
GTM,Guatemala,2025,113199581158.203,6150.02571438505,18406359,72.602,17.9,,82.1100006103516,56.0535,2.604,2.86992752918294,32.5961179544606,62.1,45.2,100,392.01223755
GIN,Guinea,2025,25008678293.4084,1694.95375862193,14754785,60.74,61.5,,39.6199989318848,26.5014,5.163,8.12313914948596,24.6988442129253,66.6,29.6,51.1,59.33010101
GNB,Guinea-Bissau,2025,2218393804.54798,1007.74151728028,2201352,64.085,43.1,,63.9300003051758,32.4661,2.673,3.76555825770114,69.5124466571835,87.4,33.4,40.5,82.13543701
GUY,Guyana,2025,24662709832.1343,29675.2443873316,831087,70.18,23.8,,85.6399993896484,81.7221,11.962,2.90395226446373,87.0878369802027,12.1,45.1,98.9,505.03240967
HTI,Haiti,2025,25224154990.7946,2142.62330526788,11772557,64.936,40.3,,68.0100021362305,39.262,14.944,26.9490564091987,12.2630624092888,76.7,41.1,51.3,54.4146843
HND,Honduras,2025,37093565854.0437,3426.43483328923,10825703,72.884,13.3,,88.25,58.2789,4.92,4.60621098127107,56.2732147645008,45.9,45.7,95.6,249.15301514
HKG,"Hong Kong SAR, China",2025,406863396487.342,54074.6928519479,7524100,85.2473170731707,,,,95.9778,2.799,1.72972119105914,,0.4,,100,
HUN,Hungary,2025,222722738925.641,23292.3263882478,9562065,76.7707317073171,3.2,,98.8600006103516,93.779,4.521,3.70370370370369,22.4484341442034,15.3,30.6,100,1419.87475586
ISL,Iceland,2025,33255181468.9382,86040.5309851288,386506,82.6073170731707,1.9,,,99.8301,3.625,5.85683849970066,0.528744421303184,82.4,26.8,100,7641.57373047
IND,India,2025,3909891533858.08,2694.73780859961,1450935791,72.003,24.5,,81.6999969482422,70,4.219,4.95303550973656,24.5390304689576,34.9,25.5,99.5,84.68669891
IDN,Indonesia,2025,1396300098190.97,4925.43048751861,283487931,71.146,17,,96,72.7808,3.237,2.18151273615189,47.7220336902463,20.2,34.9,99.4,131.77729797
IRN,"Iran, Islamic Rep.",2025,475252089215.416,5190.16959024821,91567738,77.654,10.7,,88.9233339833467,79.6309,8.301,32.455871402917,6.64923611710324,0.9,35.9,100,267.059021
IRQ,Iraq,2025,279641257615.385,6073.61032342708,46042015,72.324,20.8,,84.0588635813164,81.7291,15.485,-12.2969837587007,1.90035242899592,1.1,29.8,100,333.29360962
IRL,Ireland,2025,609157459747.205,112894.953240805,5395790,82.8609756097561,3.4,,,96.4974,4.632,2.11344999577317,11.5259108724053,12.7,29,100,7394.85009766
IMN,Isle of Man,2024,7431257410.92713,88328.548125887,84160,80.999,,,,,,,6.07017543859649,2.7,,100,
ISR,Israel,2025,540379921261.681,54176.6844383302,9974400,83.1951219512195,2.7,,91.75,88.1824,3.489,3.07480889805025,6.46950092421442,6.2,37.9,100,3927.69873047
ITA,Italy,2025,2380825077243.59,40385.3413957669,58952704,83.7,2.3,,99.3499984741211,89.2207,6.391,0.982373023061417,32.8944947923712,17.5,34.3,100,3397.68798828
JAM,Jamaica,2025,22014397089.7689,7753.8006955432,2839175,71.479,18.3,,79.9199981689453,89.473,3.286,5.41194447981659,56.190757156048,10.5,39.9,97.7,520.15704346
JPN,Japan,2025,4027597523550.58,32487.0778047567,123975371,84.0412195121951,1.8,,,86.9815,2.451,2.73853681635241,68.3957811364628,8.8,32.3,100,3638.19287109
JOR,Jordan,2025,53352289577.4648,4618.09592498567,11552876,77.814,12.2,,94.8499984741211,92.5344,16.535,1.55659611283953,1.09804716534901,11.5,33.7,100,342.10394287
KAZ,Kazakhstan,2025,291480274648.826,14154.6324958076,20592571,74.402,7.6,,99.7300033569336,93.3917,4.771,8.83943897452672,1.31214516427751,2,29.2,100,489.71456909
KEN,Kenya,2025,120339557905.932,2132.43452097647,56432944,63.646,34.7,,82.2300033569336,34.9762,5.449,4.48978854243448,6.21662477880402,67.7,37.7,76.2,84.958992
KIR,Kiribati,2024,307862564.489711,2288.63471423684,134518,66.473,39.7,,98.6322966077083,88,,2.45545072159028,1.45679012345679,41.9,27.8,95.9,238.12675476
PRK,"Korea, Dem. People's Rep.",2025,,,26498823,73.642,14.5,,100,0,3.545,,49.5507017689561,14.7,,57.5,
KOR,"Korea, Rep.",2025,1875388209406.8,36238.639908315,51751065,83.4292682926829,2.3,,97.9700012207031,97.8956,2.683,2.32174328643542,64.108606557377,3.6,32.9,100,3136.78564453
XKX,Kosovo,2024,11197246322.588,7023.06598512878,1594353,78.033,8.3,,,89.443,,1.61944994559476,,,38.3,100,
KWT,Kuwait,2025,160227273053.334,32717.7186631255,4897263,83.1878048780488,7.6,,96.4599990844727,99.7473,2.181,2.89855072463762,0.350729517396184,0.1,,100,1679.12353516
KGZ,Kyrgyz Republic,2025,17478259659.2625,2420.18542283831,7221868,72.2487804878049,14.9,,99.2399978637695,88.4701,3.526,10.7532770416742,7.14337851929093,27.6,27.2,100,96.65081787
LAO,Lao PDR,2025,16502933121.3379,2123.97909415109,7769819,68.964,35.2,,75.6399993896484,63.6255,1.187,23.1305695942588,71.4558058925477,49.2,38.8,96.5,27.41773605
LVA,Latvia,2025,43684254432.3609,23409.0845154775,1866124,75.6780487804878,2.5,,99.9000015258789,92.7076,6.568,1.26579885828729,54.9959826450265,44,34,100,1645.4152832
LBN,Lebanon,2024,20078620356.9931,3477.72489842684,5805962,77.817,16,,92.0144800114203,83.4933,10.985,45.2430422716718,14.1867057673509,6.8,35.3,100,260.8119812
LSO,Lesotho,2025,2271759454.51107,971.90771824829,2337423,57.375,55.4,,90.4499969482422,47.991,16.315,6.10544624245032,1.13702239789196,34.9,44.9,57.3,122.63982391
LBR,Liberia,2025,4779300900,851.497723870206,5612817,62.163,52.6,,59.4035765513495,23.4979,2.884,8.21497439118964,78.1422342192691,92.8,35.3,32.5,103.94123077
LBY,Libya,2025,48487151215.345,6569.16408678648,7381023,69.339,15.9,,60.1599998474121,88.4989,18.758,2.12615766885025,0.123327687918433,3.1,,73.2,470.4034729
LIE,Liechtenstein,2024,8239379403.22096,206780.590353385,40450,84.8414634146342,,,,97.3444,,,41.875,56.9,,100,11494.95898438
LTU,Lithuania,2025,84869215513.3648,29384.0189598663,2888278,76.9878048780488,2.8,,99.8199996948242,88.5029,6.731,0.715735835228723,35.2301501597444,33.2,36,100,2232.47631836
LUX,Luxembourg,2025,93279851863.4062,137781.681659123,677012,83.3585365853659,2,,,98.7606,6.343,2.05113269954859,34.4538272103664,20.5,33.6,100,8169.91259766
MAC,"Macao SAR, China",2025,49467258923.3244,72004.7437020733,687000,83.1804878048781,,,96.5400009155273,89.1806,2.347,0.476384495788075,,11,,100,
MDG,Madagascar,2025,17420501490.1231,544.987501003384,31964956,63.632,44.2,,74.6900024414062,20.3671,3.041,9.87432675044888,21.2962600550017,83.1,36.8,39.4,17.44003487
MWI,Malawi,2025,11316411329.4619,522.570393642547,21655286,67.353,29.4,,70.1500015258789,17.9881,5.072,32.1796504225025,22.4406024607552,62.9,38.5,15.6,41.26664734
MYS,Malaysia,2025,422227005428.688,11874.4273684245,35557673,76.657,6.8,,95.7699966430664,98.0206,3.764,1.834100204499,57.7190381981434,7.5,40.7,100,450.33853149
MDV,Maldives,2025,7061608267.25451,13379.3513577224,527799,81.041,5,,98.2099990844727,84.6851,4.514,1.39979779674928,2.75167785234899,1.2,29.3,100,1159.02819824
