iata_code,icao_code,name,city,country_code,continent,latitude,longitude,elevation_ft,type,scheduled_service
OAM,NZOU,Oamaru Airport,,NZ,OC,-44.970001,171.082001,99,medium_airport,no
OAX,MMOX,Xoxocotlán International Airport,Oaxaca,MX,NA,16.998773,-96.726092,4989,large_airport,yes
OBF,EDMO,Oberpfaffenhofen Airport,Weßling,DE,EU,48.081402,11.2831,1947,medium_airport,no
OBO,RJCB,Tokachi-Obihiro Airport,Obihiro,JP,AS,42.7332992554,143.216995239,505,medium_airport,yes
OBS,LFHO,Aubenas-South Ardèche Airport,"Lanas, Ardèche",FR,EU,44.544367,4.372194,923,medium_airport,no
OCA,,Ocean Reef Club Airport,Key Largo,US,NA,25.325399,-80.274803,8,medium_airport,no
OCC,SECO,Francisco De Orellana Airport,Coca,EC,SA,-0.462886,-76.986801,834,medium_airport,yes
OCE,KOXB,Ocean City Municipal Airport,Ocean City,US,NA,38.310398,-75.124001,11,medium_airport,yes
OCJ,MKBS,Ian Fleming International Airport,Boscobel,JM,NA,18.404079,-76.969754,90,medium_airport,yes
OCN,KOKB,Oceanside Municipal Airport,Oceanside,US,NA,33.217947,-117.351683,28,medium_airport,no
OCS,,Corisco International Airport,Corisco Island,GQ,AF,0.910937,9.33027,55,large_airport,yes
OCV,SKOC,Aguas Claras Airport,Ocaña,CO,SA,8.31506,-73.3583,3850,medium_airport,no
ODB,LEBA,Córdoba Airport,Córdoba,ES,EU,37.841999,-4.84888,297,medium_airport,no
ODE,EKOD,Odense Hans Christian Andersen Airport,Odense,DK,EU,55.475307,10.327206,56,large_airport,yes
ODH,EGVO,RAF Odiham,"Hook, Hampshire",GB,EU,51.2341,-0.942825,405,medium_airport,no
ODS,UKOO,Odesa International Airport,Odesa,UA,EU,46.427196,30.672649,172,large_airport,no
OEC,WPOC,Oecusse Route of the Sandalwood International Airport,Oecussi-Ambeno,TL,AS,-9.198419,124.337873,,large_airport,yes
OER,ESNO,Örnsköldsvik Airport,Örnsköldsvik,SE,EU,63.40829849243164,18.989999771118164,354,medium_airport,yes
OFF,KOFF,Offutt Air Force Base,Omaha,US,NA,41.119307,-95.90851,1052,medium_airport,no
OFK,KOFK,Karl Stefan Memorial Airport,Norfolk,US,NA,41.985500335693,-97.435096740723,1573,medium_airport,no
OGB,KOGB,Orangeburg Municipal Airport,Orangeburg,US,NA,33.456798553467,-80.859497070312,195,medium_airport,no
OGD,KOGD,Ogden Hinckley Airport,Ogden,US,NA,41.195899963379,-112.0120010376,4473,medium_airport,yes
OGG,PHOG,Kahului International Airport,Kahului,US,OC,20.896263,-156.431837,54,large_airport,yes
OGL,SYEC,Eugene F. Correia International Airport,Ogle,GY,SA,6.805881,-58.107657,10,medium_airport,yes
