taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,きび 精白粒,,,,,"japanese, cereals and grains, きび 精白粒",きび 精白粒,きび 精白粒,11.3,3.3,70.9,0.7,353.0,,,,,,,,13.8,,,1496.0,,,1.6,9.0,2.1,84.0,160.0,200.0,2.0,2.7,0.38,,,2.0,,,,,,,,,,,,,,0.5,0.3,,,,,,0.34,0.09,3.7,0.95,0.2,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［玄穀］ 国産 普通,,,,,"japanese, cereals and grains, こむぎ ［玄穀］ 国産 普通",こむぎ ［玄穀］ 国産 普通,こむぎ ［玄穀］ 国産 普通,10.8,3.1,72.1,1.6,329.0,,,,,,,,12.5,,,1391.0,,,14.0,26.0,3.2,82.0,350.0,440.0,2.0,2.6,0.38,,3.9,3.0,,,,,,1.2,,,,,,,0.6,,,,,,,,0.41,0.09,6.3,1.03,0.35,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［玄穀］ 輸入 軟質,,,,,"japanese, cereals and grains, こむぎ ［玄穀］ 輸入 軟質",こむぎ ［玄穀］ 輸入 軟質,こむぎ ［玄穀］ 輸入 軟質,10.1,3.3,75.2,1.4,344.0,,,,,,,,10.0,,,1457.0,,,11.2,36.0,2.9,110.0,290.0,390.0,2.0,1.7,0.32,,3.79,5.0,,,,,,1.2,,,,,,,0.6,,,,,,,,0.49,0.09,5.0,1.07,0.34,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［玄穀］ 輸入 硬質,,,,,"japanese, cereals and grains, こむぎ ［玄穀］ 輸入 硬質",こむぎ ［玄穀］ 輸入 硬質,こむぎ ［玄穀］ 輸入 硬質,13.0,3.0,69.4,1.6,332.0,,,,,,,,13.0,,,1406.0,,,11.4,26.0,3.2,140.0,320.0,340.0,2.0,3.1,0.43,,4.09,54.0,,,,,,1.2,,,,,,,0.6,,,,,,,,0.35,0.09,5.8,1.29,0.34,49.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［小麦粉］ 薄力粉 1等,,,,,"japanese, cereals and grains, こむぎ ［小麦粉］ 薄力粉 1等",こむぎ ［小麦粉］ 薄力粉 1等,こむぎ ［小麦粉］ 薄力粉 1等,8.3,1.5,75.8,0.4,349.0,,,,,,,,14.0,,,1485.0,,,2.5,20.0,0.5,12.0,60.0,110.0,,0.3,0.08,,0.43,4.0,,,,,,0.3,,,,,,,0.2,,,,,,,,0.11,0.03,0.6,0.53,0.03,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［小麦粉］ 薄力粉 2等,,,,,"japanese, cereals and grains, こむぎ ［小麦粉］ 薄力粉 2等",こむぎ ［小麦粉］ 薄力粉 2等,こむぎ ［小麦粉］ 薄力粉 2等,9.3,1.9,74.3,0.5,345.0,,,,,,,,14.0,,,1467.0,,,2.6,23.0,0.9,30.0,77.0,130.0,,0.7,0.18,,0.77,3.0,,,,,,1.0,,,,,,,0.5,,,,,,,,0.21,0.04,1.0,0.62,0.09,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［小麦粉］ 中力粉 1等,,,,,"japanese, cereals and grains, こむぎ ［小麦粉］ 中力粉 1等",こむぎ ［小麦粉］ 中力粉 1等,こむぎ ［小麦粉］ 中力粉 1等,9.0,1.6,75.1,0.4,337.0,,,,,,,,14.0,,,1435.0,,,2.8,17.0,0.5,18.0,64.0,100.0,1.0,0.5,0.11,,0.43,7.0,,,,,,0.3,,,,,,,0.2,,,,,,,,0.1,0.03,0.6,0.47,0.05,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［小麦粉］ 中力粉 2等,,,,,"japanese, cereals and grains, こむぎ ［小麦粉］ 中力粉 2等",こむぎ ［小麦粉］ 中力粉 2等,こむぎ ［小麦粉］ 中力粉 2等,9.7,1.8,74.0,0.5,346.0,,,,,,,,14.0,,,1466.0,,,2.1,24.0,1.1,26.0,80.0,110.0,1.0,0.6,0.14,,0.77,7.0,,,,,,0.8,,,,,,,0.4,,,,,,,,0.22,0.04,1.2,0.66,0.07,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［小麦粉］ 強力粉 1等,,,,,"japanese, cereals and grains, こむぎ ［小麦粉］ 強力粉 1等",こむぎ ［小麦粉］ 強力粉 1等,こむぎ ［小麦粉］ 強力粉 1等,11.8,1.5,71.7,0.4,337.0,,,,,,,,14.5,,,1432.0,,,2.7,17.0,0.9,23.0,64.0,89.0,,0.8,0.15,,0.32,39.0,,,,,,0.3,,,,,,,0.2,,,,,,,,0.09,0.04,0.8,0.77,0.06,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,plant,plantae,,,,,,,,,,,,,cereals and grains,,,,,,,,japan,,,こむぎ ［小麦粉］ 強力粉 2等,,,,,"japanese, cereals and grains, こむぎ ［小麦粉］ 強力粉 2等",こむぎ ［小麦粉］ 強力粉 2等,こむぎ ［小麦粉］ 強力粉 2等,12.6,1.7,70.6,0.5,343.0,,,,,,,,14.5,,,1455.0,,,2.1,21.0,1.0,36.0,86.0,86.0,,1.0,0.19,,0.58,49.0,,,,,,0.5,,,,,,,0.2,,,,,,,,0.13,0.04,1.1,0.93,0.08,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
