taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
Gadus chalcogrammus,,animal,animalia,,,,,,,,,,,,,,,,,,,,,alaska,fresh,,alaska pollock,meat,,,,,"Fish, pollock, Alaska, raw (not previously frozen)","FISH,POLLOCK,ALASKA,RAW (NOT PREVIOUSLY FROZEN)",17.17,0.19,0,1.34,70,,,,,,,,81.99,,,294,,,,12,0.27,34,190,331,159,0.4,0.041,,0.011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,0.001,0.039,0,0,0,0,0,0.002,0.031,0.006,0,0.015,0.002,0,0.001,0.042,0,0,0.002,0.001,0.007,0.02,0.001,0.002,,,,,0.043,0.072,0,0,0,0,0.001,0,0,,,0,0.001,0,0.002,0.014,0.002,0.001,0,0,0.001,0.001,0,,0,0,0,0.001,,,,0,
Gadus chalcogrammus,,animal,animalia,,,,,,,,,,,,,,,,,,,,,alaska,frozen,,alaska pollock,meat,,,,,"Fish, pollock, Alaska, raw (may have been previously frozen)","FISH,POLLOCK,ALASKA,RAW (MAY HAVE BEEN PREVIOUSLY FROZEN)",12.19,0.41,0,1.36,56,0,,,0,0,0,0,86.75,0,0,233,0,0,0,15,0.22,16,284,160,333,0.31,0.031,,0.011,15.9,10,3,3,0,0,0.49,8,,0.2,0,0,0,0,0,0,0,0,0,0,0,0.03,0.08,0.653,0.237,0.069,3,1.63,65,0,0,0,0,3,3,,0.166,0.536,0.573,0.98,1.118,0.37,0.129,0.471,0.453,0.619,0.859,0.259,0.693,1.211,1.922,0.545,0.462,0.499,,46,0.016,0.124,0,0,0,0,0.001,0.004,0.087,0.029,0,0.052,0.016,0.001,0.005,0.116,0,0.001,0.004,0.001,0.01,0.049,0.001,0.004,,,,,0.079,0.195,0.001,0.001,0,0.001,0.004,0,0.011,,,0,0.005,0.001,0.003,0.048,0.004,0.001,0,0.004,0.002,0.004,0.011,,0.001,0.001,0.001,0.002,,,,0,
Medicago sativa,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,Fabales,,Fabaceae,Faboideae,Trifolieae,Medicago,m. sativa,,,,,,,Medicago sativa,,,,,,fresh,sprouted,alfalfa,seed,,,,,"Alfalfa seeds, sprouted, raw","ALFALFA SEEDS,SPROUTED,RAW",3.99,0.69,2.1,0.4,23,,0,0.08,0.12,0,0,0,92.82,0,0,96,0.2,0,1.9,32,0.96,27,70,79,6,0.92,0.157,,0.188,0.6,155,0,8,87,6,0.02,0,,,6,0,0,,,,,,,,8.2,0.076,0.126,0.481,0.563,0.034,36,0,14.4,,,30.5,0,36,36,0.4,,0.134,0.143,0.267,0.214,,,,,0.145,,,,,,,,,,0,0,0.069,0,0,0,0,0,0.002,0.059,0.008,,0.056,0.234,0.175,0,0,,,0,0,0,0,0,0,,,,,0.056,0.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrospira platensis,marine plant,plant,plantae,,,,,,,,,,,,,,,,,,,,,,dried,spirulina,algae,blade,,,,,"Seaweed, spirulina, dried","SEAWEED,SPIRULINA,DRIED",57.47,7.72,23.9,6.23,290,,,,,,,0,4.68,0,0,1213,3.1,,3.6,120,28.5,195,118,1363,1048,2,6.1,,1.9,7.2,570,0,29,342,0,5,0,,,0,0,0,,,,,,,,10.1,2.38,3.67,12.82,3.48,0.364,94,0,66,,,25.5,0,94,94,,0.929,2.97,3.209,4.947,3.025,1.149,0.662,2.777,2.584,3.512,4.147,1.085,4.515,5.793,8.386,3.099,2.382,2.998,,0,0,2.65,0,0,0,0,0,0.075,2.496,0.077,,0.347,1.254,0.823,0,0,,,0.328,0,0,0,0,0,,,,,0.675,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arthrospira platensis,marine plant,plant,plantae,,,,,,,,,,,,,,,,,,,,,,fresh,spirulina,algae,blade,,,,,"Seaweed, spirulina, raw","SEAWEED,SPIRULINA,RAW",5.92,0.39,2.42,0.6,26,,,,,,,0,90.67,0,0,109,0.3,,0.4,12,2.79,19,11,127,98,0.2,0.597,,0.186,0.7,56,0,3,33,0,0.49,0,,,0,0,0,,,,,,,,0.9,0.222,0.342,1.196,0.325,0.034,9,0,6.5,,,2.5,0,9,9,,0.096,0.306,0.331,0.509,0.312,0.118,0.068,0.286,0.266,0.362,0.427,0.112,0.465,0.597,0.864,0.319,0.245,0.309,,0,0,0.135,,,,,,0.004,0.127,0.004,,0.018,0.064,0.042,,,,,0.017,,,,,,,,,,0.034,0.106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pimenta dioica,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,Myrtales,,Myrtaceae,Myrtoideae,Myrteae,Pimenta,p. dioica,,,,,,,Pimenta dioica,,,,,,dried,ground,allspice,seed,,,,,"Spices, allspice, ground","ALLSPICE,GROUND",6.09,8.69,72.12,4.65,263,,,,,,,0,8.46,0,0,1099,,,21.6,661,7.06,135,113,1044,77,1.01,0.553,,2.943,2.7,540,0,27,,,,0,,,,,,,,,,,,,39.2,0.101,0.063,2.86,,0.21,36,0,,,,,0,36,36,,,,,,,,,,,,,,,,,,,,,0,0,2.55,0,0,0,0,0,0.02,0.49,1.99,,0.66,2.29,0.07,0,0,,,0,0,0,0,0,0,61,,,,0.66,2.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus dulcis,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,Rosales,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,p. dulcis,,,,,,,Prunus dulcis,,,,,,fresh,,almond,seed,,,butter,,"Nuts, almond butter, plain, without salt added","ALMOND BUTTER,PLN,WO/SALT",20.96,55.5,18.82,3.09,614,0.08,4.34,0.02,0,0,0.07,0,1.64,,,2568,4.43,,10.3,347,3.49,279,508,748,7,3.29,0.934,,2.131,2.4,1,0,0,1,0,24.21,0,,,0,0,1,0.53,1.01,0,,,,,0,0.041,0.939,3.155,0.318,0.103,53,0,52.1,,,0,0,53,53,,0.159,0.555,0.813,1.483,0.612,0.122,0.242,1.149,0.595,0.937,2.382,0.55,0.99,2.397,5.912,1.472,0.915,0.926,,0,,4.152,,,0,0,0,0.007,3.192,0.938,0.007,32.143,13.605,0.007,0,,0,0,0.248,,0.019,,,,139,3,6,131,32.445,13.613,0,0.007,,,,,,,,,,0,,,,,,0.035,0,,,,0,,,,,,,,
Prunus dulcis,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,Rosales,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,p. dulcis,,,,,,,Prunus dulcis,,,,,,processed,,almond,seed,,,oil,,"Oil, almond","OIL,ALMOND",0,100,0,0,884,,,,,,,0,0,0,0,3699,0,,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,39.2,0,,,0,0,0,,,,,,,,0,0,0,0,0,0,0,0,0.4,,,7,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,,8.2,0,0,0,0,0,0,6.5,1.7,,69.4,17.4,0,0,0,,,0.6,0,0,0,0,0,266,,,,69.9,17.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus dulcis,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,Rosales,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,p. dulcis,,,,,,,Prunus dulcis,,,,,,fresh,,almond,seed,,,paste,,"Nuts, almond paste",ALMOND PASTE,9,27.74,47.81,1.37,458,,,,,,,0,14.08,0,0,1916,36.25,,4.8,172,1.6,130,258,314,9,1.48,0.454,,0.856,4.2,0,0,0,0,0,13.54,0,,,0,0,1,,,,,,,,0.1,0.082,0.414,1.422,0.113,0.036,73,0,28.5,,,0,0,73,73,,,,,,,,,,,,,,,,,,,,,0,,2.629,0,0,0,0,0.003,0.158,1.836,0.542,,17.68,5.576,0.199,0,0,,,0.162,0,0.027,0,0,0,,,,,18.012,5.821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prunus dulcis,nuts and seeds,plant,plantae,Magnoliophyta,Magnoliopsida,Rosales,,Rosaceae,Amygdaloideae,Amygdaleae,Prunus,p. dulcis,,,,,,,Prunus dulcis,,,,,,fresh,,almond,seed,,,,,"Nuts, almonds",ALMONDS,21.15,49.93,21.55,2.97,579,0.72,3.95,0.17,0.11,0,0.04,0,4.41,0,0,2423,4.35,0.07,12.5,269,3.71,270,481,733,1,3.12,1.031,,2.179,4.1,2,0,0,1,0,25.63,0,,,0,0,1,0.23,0.64,0.07,,,,,0,0.205,1.138,3.618,0.471,0.137,44,0,52.1,,0,0,0,44,44,0.5,0.211,0.601,0.751,1.473,0.568,0.157,0.215,1.132,0.45,0.855,2.465,0.539,0.999,2.639,6.206,1.429,0.969,0.912,,0,0.015,3.802,0,0,0,0,0,0.003,3.083,0.704,0.007,31.294,12.324,0.003,0,0,0.001,0,0.239,0,0.005,0,0,0,,4,5,130,31.551,12.329,0,0.004,0,0.012,0,,0.003,,,0.002,0,0.002,0.227,31.294,12.32,,0,0.013,0,0.012,0.003,0,0,0.003,,,,,,,
