taxon,food_subtype,food_type,kingdom,phylum,class,order,suborder,family,subfamily,tribe,genus,species,subspecies,variety,form,group,cultivar,phenotype,binomial,nomial,trinomial,part_variant,classold,food_region,food_state,food_name_prefix,food_name,food_part,food_subpart,food_form_prefix,food_form,food_keywords,description_long,description_short,protein,lipid,carbohydrate,mineral,kilocalories,starch,sucrose,glucose,fructose,lactose,maltose,ethanol,water,caffeine,theobromine,kilojoules,sugar,galactose,fiber,calcium,iron,magnesium,phosphorus,potassium,sodium,zinc,copper,fluoride,manganese,selenium,vitamin_a_ui,retinol,vitamin_a_rae,beta_carotene,alpha_carotene,alpha_tocopherol,vitamin_d,ergocalciferol,cholecalciferol,beta_cryptoxanthin,lycopene,lutein_and_zeaxanthin,beta_tocopherol,gamma_tocopherol,delta_tocopherol,alpha_tocotrienol,beta_tocotrienol,gamma_tocotrienol,delta_tocotrienol,ascorbic_acid,thiamin,riboflavin,niacin,pantothenic_acid,vitamin_b6,folate_total,cyanocobalamin,choline,menaquinone_4,dihydrophylloquinone,phylloquinone,folic_acid,folate,folate_dfe,betaine,tryptophan,threonine,isoleucine,leucine,lysine,methionine,cystine,phenylalanine,tyrosine,valine,arginine,histidine,alanine,aspartic_acid,glutamic_acid,glycine,proline,serine,hydroxyproline,cholesterol,fc04_d0,saturated_fat,c04_d0,c06_d0,c08_d0,c10_d0,c12_d0,c14_d0,c16_d0,c18_d0,c20_d0,c18_d1_undifferentiated,c18_d2_undifferentiated,c18_d3_undifferentiated,c20_d4_undifferentiated,c22_d6_n3_dha,c22_d0,c14_d1,c16_d1_undifferentiated,c18_d4,c20_d1,c20_d5_n3,c22_d1_undifferentiated,c22_d5_n3,phytosterol,stigmasterol,campesterol,beta_sitosterol,monounsaturated_fat,polyunsaturated_fat,c15_d0,c17_d0,c24_d0,c16_d1_trans,c18_d1_trans,c22_d1_trans,c18_d2_trans,c18_d2_mixed,c18_d2_trans_trans,c18_d2_clas,c24_d1_cis,c20_d2_n6_cis_cis,c16_d1_cis,c18_d1_cis,c18_d2_n6_cis_cis,c22_d1_cis,c18_d3_n6_cis_cis_cis,c17_d1,c20_d3_undifferentiated,trans_monoenoic_fat,trans_polyenoic_fat,c13_d0,c15_d1,c18_d3_n3_cis_cis_cis,c20_d3_n3,c20_d3_n6,c20_d4_n6,c18_d3_mixed,c21_d5,c22_d4,c18_d1_d11_t_c18_d1t_n7
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, colby","CHEESE, COLBY",23.76,32.11,2.57,3.36,394.0,,,,,,,0.0,38.2,0.0,0.0,1647.0,0.52,,0.0,685.0,0.76,26.0,457.0,127.0,604.0,3.07,0.042,,0.012,14.5,,257.0,264.0,82.0,0.0,0.28,24.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.015,0.375,0.093,0.21,0.079,18.0,0.83,15.4,,,2.7,0.0,18.0,18.0,,0.305,0.845,1.475,2.275,1.978,0.622,0.119,1.251,1.147,1.586,0.898,0.834,0.67,1.527,5.813,0.41,2.678,1.389,,95.0,,20.218,1.041,0.259,0.324,0.597,0.422,3.831,8.232,3.63,,7.813,0.676,0.277,0.0,0.0,,,0.979,0.0,0.0,0.0,0.0,0.0,,,,,9.28,0.953,,,,,,,,,,,,,,,0.532,,0.0,,0.0,,,,,0.27,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, cottage, creamed (4.5% M.F.)","CHEESE, COTTAGE, CREAMED (4.5% M.F.)",11.12,4.3,3.38,1.41,99.0,,0.0,0.0,0.0,2.67,0.0,0.0,79.79,0.0,0.0,412.0,2.67,0.0,0.0,83.0,0.07,8.0,159.0,104.0,364.0,0.4,0.029,,0.002,9.7,,36.0,37.0,12.0,0.0,0.08,3.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.027,0.163,0.099,0.557,0.046,12.0,0.43,18.4,,,0.0,0.0,12.0,12.0,0.7,0.147,0.5,0.591,1.116,0.934,0.269,0.066,0.577,0.604,0.748,0.497,0.326,0.384,0.905,2.603,0.222,1.229,0.639,,17.0,,1.718,0.109,0.025,0.023,0.064,0.07,0.263,0.778,0.345,,0.714,0.105,0.017,0.0,0.0,,0.01,0.047,0.0,0.0,0.0,0.0,0.0,,,,,0.778,0.123,0.02,0.01,,,,,,,,,,,,,0.079,,0.0,,0.0,,,,,0.01,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, cottage, creamed with fruit","CHEESE, COTTAGE, CREAMED WITH FRUIT",10.69,3.85,4.61,1.2,97.0,,,,,,,0.0,79.64,0.0,0.0,407.0,2.38,,0.2,53.0,0.16,7.0,113.0,90.0,344.0,0.33,0.04,,0.003,7.7,,37.0,38.0,14.0,0.0,0.04,0.0,,,0.0,0.0,0.0,,,,,,,,1.4,0.033,0.142,0.15,0.181,0.068,11.0,0.53,17.5,,,0.4,0.0,11.0,11.0,,0.118,0.471,0.624,1.091,0.859,0.32,0.099,0.572,0.566,0.657,0.485,0.353,0.551,0.719,2.3,0.231,1.23,0.596,,13.0,,2.311,0.123,0.027,0.031,0.07,0.061,0.401,1.159,0.438,,0.899,0.088,0.037,0.0,0.0,,,0.137,0.0,0.0,0.0,0.0,0.0,,,,,1.036,0.124,,,,,,,,,,,,,,,0.064,,0.0,,0.0,,,,,0.03,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, cottage, uncreamed, dry curd (0.4% M.F.)","CHEESE, COTTAGE, UNCREAMED, DRY CURD (0.4% M.F.)",10.34,0.29,6.66,1.71,72.0,,0.0,0.29,0.0,1.56,0.0,0.0,81.01,0.0,0.0,303.0,1.85,,0.0,86.0,0.15,11.0,190.0,137.0,372.0,0.47,0.03,,0.022,9.4,,2.0,2.0,0.0,0.0,0.01,0.0,,,0.0,0.0,0.0,0.0,0.01,0.0,,,,,0.0,0.023,0.226,0.144,0.446,0.016,9.0,0.46,17.9,,,0.0,0.0,9.0,9.0,0.9,0.137,0.465,0.549,1.037,0.868,0.25,0.061,0.536,0.561,0.695,0.462,0.303,0.357,0.841,2.419,0.206,1.142,0.594,,7.0,,0.169,0.007,0.002,0.005,0.009,0.006,0.02,0.07,0.05,0.0,0.067,0.003,0.0,0.0,0.0,0.0,,0.012,0.0,0.0,0.0,0.0,0.0,,,,,0.079,0.003,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,0.002,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,0.0,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, cream","CHEESE, CREAM",5.93,34.24,4.07,1.32,342.0,0.35,0.0,0.0,0.0,3.21,0.0,0.0,54.44,0.0,0.0,1431.0,3.21,0.0,0.0,98.0,0.38,9.0,106.0,138.0,365.0,0.51,0.019,,0.011,2.4,,359.0,366.0,88.0,0.0,0.29,25.0,,,0.0,0.0,0.0,0.0,0.04,0.0,,,,,0.0,0.02,0.125,0.145,0.57,0.035,11.0,0.25,27.2,,,2.9,0.0,11.0,11.0,0.7,0.069,0.233,0.324,0.657,0.567,0.191,0.042,0.291,0.303,0.395,0.235,0.175,0.184,0.514,1.304,0.142,0.665,0.374,0.0,110.0,,19.292,0.998,0.294,0.356,0.825,0.919,3.042,8.497,3.823,0.05,7.923,1.032,0.173,0.058,0.0,0.0,0.24,0.448,0.0,0.0,0.0,0.0,0.0,,,,,8.62,1.437,0.31,0.17,,,,,,,,,,0.0,,,0.818,,0.0,0.0,0.0,,,,0.0,0.173,0.0,0.0,0.05,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, edam","CHEESE, EDAM",24.99,27.8,1.43,4.22,357.0,,,,,,,0.0,41.56,0.0,0.0,1492.0,1.43,,0.0,731.0,0.44,30.0,536.0,188.0,812.0,3.75,0.036,,0.011,14.5,,242.0,243.0,11.0,0.0,0.24,20.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.037,0.389,0.082,0.281,0.076,16.0,1.54,15.4,,,2.3,0.0,16.0,16.0,,0.352,0.932,1.308,2.57,2.66,0.721,0.255,1.434,1.457,1.81,0.964,1.034,0.764,1.747,6.15,0.486,3.251,1.547,,89.0,,17.572,1.0,0.461,0.3,0.589,0.496,2.943,8.067,2.983,,6.911,0.418,0.247,0.0,0.0,,,0.813,0.0,0.0,0.0,0.0,0.0,,,,,8.125,0.665,,,,,,,,,,,,,,,0.326,,0.0,,0.0,,,,,0.24,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, fontina","CHEESE, FONTINA",25.6,31.14,1.55,3.79,389.0,,,,,,,0.0,37.92,0.0,0.0,1628.0,1.55,,0.0,550.0,0.23,14.0,346.0,64.0,800.0,3.5,0.025,,0.014,14.5,,258.0,261.0,32.0,0.0,0.27,23.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.021,0.204,0.15,0.429,0.083,6.0,1.68,15.4,,,2.6,0.0,6.0,6.0,,0.361,0.935,1.384,2.664,2.328,0.706,0.261,1.497,1.524,1.926,0.835,0.959,0.823,1.413,5.136,0.457,3.323,1.477,,116.0,,19.196,0.715,0.489,0.314,0.651,0.804,2.964,8.458,2.655,,7.1,0.864,0.79,0.0,0.0,,,0.89,0.0,0.0,0.0,0.0,0.0,,,,,8.687,1.654,,,,,,,,,,,,,,,0.683,,0.0,,0.0,,,,,0.79,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, gjetost","CHEESE, GJETOST",9.65,29.51,42.65,4.75,466.0,,,,,,,,13.44,0.0,0.0,1948.0,,,0.0,400.0,0.52,70.0,444.0,1409.0,600.0,1.14,0.08,,0.04,14.5,,334.0,334.0,0.0,,,12.0,,,,,,,,,,,,,0.0,0.315,1.382,0.813,3.351,0.271,5.0,2.42,,,,,0.0,5.0,5.0,,0.135,0.393,0.519,0.992,0.814,0.318,0.057,0.54,0.541,0.765,0.33,0.293,0.325,0.709,1.987,0.189,1.18,0.47,,94.0,,19.16,0.957,0.566,0.33,0.576,0.831,3.27,8.662,3.477,,6.955,0.508,0.429,0.0,0.0,,,0.534,,,0.0,,0.0,,,,,7.879,0.938,,,,,,,,,,,,,,,0.397,,0.0,,0.0,,,,,0.42,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, gruyere","CHEESE, GRUYERE",29.81,32.34,0.36,4.3,413.0,,,,,,,0.0,33.19,0.0,0.0,1728.0,0.36,,0.0,1011.0,0.17,36.0,605.0,81.0,714.0,3.9,0.032,,0.017,14.5,,268.0,271.0,33.0,0.0,0.28,24.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.06,0.279,0.106,0.562,0.081,10.0,1.6,15.4,,,2.7,0.0,10.0,10.0,,0.421,1.089,1.612,3.102,2.71,0.822,0.304,1.743,1.776,2.243,0.972,1.117,0.958,1.645,5.981,0.533,3.869,1.719,,110.0,,18.913,1.049,0.621,0.355,0.751,0.911,3.369,8.753,2.324,,8.582,1.3,0.433,0.0,0.0,,,0.724,0.0,0.0,0.0,0.0,0.0,,,,,10.043,1.733,,,,,,,,,,,,,,,1.032,,0.0,,0.0,,,,,0.43,0.0,0.0,0.0,,,,
,,animal product,animalia,,,,,,,,,,,,,,,,,,,,,canada,,,cheese,,,,,dairy and egg products,"Cheese, limburger","CHEESE, LIMBURGER",20.05,27.25,0.49,3.79,327.0,,,,,,,0.0,48.42,0.0,0.0,1368.0,0.49,,0.0,497.0,0.13,21.0,393.0,128.0,800.0,2.1,0.021,,0.038,14.5,,339.0,340.0,15.0,0.0,0.23,20.0,,,0.0,0.0,0.0,,,,,,,,0.0,0.08,0.503,0.158,1.177,0.086,58.0,1.04,15.4,,,2.3,0.0,58.0,58.0,,0.289,0.739,1.219,2.093,1.675,0.619,0.11,1.116,1.197,1.439,0.698,0.578,0.666,1.477,4.51,0.409,2.439,1.144,,90.0,,16.746,0.803,0.489,0.275,0.481,0.87,2.787,7.401,3.054,,7.179,0.339,0.156,0.0,0.0,,,1.013,0.0,0.0,0.0,0.0,0.0,,,,,8.606,0.495,,,,,,,,,,,,,,,0.262,,0.0,,0.0,,,,,0.15,0.0,0.0,0.0,,,,
